fixture_id,fixture_date,fixture_timestamp,league_id,league_name,league_country,league_season,league_round,teams_home_id,teams_home_name,teams_home_winner,teams_away_id,teams_away_name,teams_away_winner,goals_home,goals_away,score_halftime_home,score_halftime_away,halftime_goals_total,fulltime_goals_total,match_result,halftime_match_result,fulltime_match_result
27552,2018-09-09 18:00:00+00:00,1536516000,141,Segunda Division,Spain,2018,Regular Season - 4,713,Cordoba,,711,Alcorcon,,0,0,0,0,0,0,0,0:0,0:0
27553,2018-09-09 18:45:00+00:00,1536518700,141,Segunda Division,Spain,2018,Regular Season - 4,544,Deportivo La Coruna,True,731,Sporting Gijon,False,1,0,0,0,0,1,1,0:0,1:0
27554,2018-09-09 16:00:00+00:00,1536508800,141,Segunda Division,Spain,2018,Regular Season - 4,860,Extremadura,False,715,Granada CF,True,1,3,0,1,1,4,2,0:1,1:3
27555,2018-09-07 18:00:00+00:00,1536343200,141,Segunda Division,Spain,2018,Regular Season - 4,534,Las Palmas,True,714,Gimnastic,False,4,0,1,0,1,4,1,1:0,4:0
27556,2018-09-08 16:00:00+00:00,1536422400,141,Segunda Division,Spain,2018,Regular Season - 4,535,Malaga,True,719,Tenerife,False,1,0,1,0,1,1,1,1:0,1:0
27557,2018-09-07 19:00:00+00:00,1536346800,141,Segunda Division,Spain,2018,Regular Season - 4,798,Mallorca,True,724,Cadiz,False,1,0,0,0,0,1,1,0:0,1:0
27558,2018-09-09 14:00:00+00:00,1536501600,141,Segunda Division,Spain,2018,Regular Season - 4,717,Numancia,True,797,Elche,False,1,0,1,0,1,1,1,1:0,1:0
27559,2018-09-08 14:00:00+00:00,1536415200,141,Segunda Division,Spain,2018,Regular Season - 4,727,Osasuna,True,723,Almeria,False,3,1,1,1,2,4,1,1:1,3:1
27560,2018-09-08 16:00:00+00:00,1536422400,141,Segunda Division,Spain,2018,Regular Season - 4,718,Oviedo,False,732,Zaragoza,True,0,4,0,1,1,4,2,0:1,0:4
27561,2018-09-10 18:00:00+00:00,1536602400,141,Segunda Division,Spain,2018,Regular Season - 4,861,Rayo Majadahonda,True,716,Lugo,False,1,0,1,0,1,1,1,1:0,1:0
27562,2018-09-09 10:00:00+00:00,1536487200,141,Segunda Division,Spain,2018,Regular Season - 4,729,Reus,False,722,Albacete,True,1,2,0,1,1,3,2,0:1,1:2
27563,2018-09-17 18:00:00+00:00,1537207200,141,Segunda Division,Spain,2018,Regular Season - 5,722,Albacete,,724,Cadiz,,1,1,1,0,1,2,0,1:0,1:1
27564,2018-09-15 18:00:00+00:00,1537034400,141,Segunda Division,Spain,2018,Regular Season - 5,711,Alcorcon,True,544,Deportivo La Coruna,False,1,0,1,0,1,1,1,1:0,1:0
27565,2018-09-16 16:30:00+00:00,1537115400,141,Segunda Division,Spain,2018,Regular Season - 5,723,Almeria,True,732,Zaragoza,False,2,1,0,0,0,3,1,0:0,2:1
27566,2018-09-16 10:00:00+00:00,1537092000,141,Segunda Division,Spain,2018,Regular Season - 5,797,Elche,,798,Mallorca,,1,1,0,1,1,2,0,0:1,1:1
27567,2018-09-16 16:00:00+00:00,1537113600,141,Segunda Division,Spain,2018,Regular Season - 5,860,Extremadura,False,534,Las Palmas,True,1,2,1,1,2,3,2,1:1,1:2
27568,2018-09-15 14:00:00+00:00,1537020000,141,Segunda Division,Spain,2018,Regular Season - 5,714,Gimnastic,True,727,Osasuna,False,1,0,0,0,0,1,1,0:0,1:0
27569,2018-09-16 18:00:00+00:00,1537120800,141,Segunda Division,Spain,2018,Regular Season - 5,715,Granada CF,True,861,Rayo Majadahonda,False,3,0,2,0,2,3,1,2:0,3:0
27570,2018-09-16 14:00:00+00:00,1537106400,141,Segunda Division,Spain,2018,Regular Season - 5,716,Lugo,False,718,Oviedo,True,0,2,0,1,1,2,2,0:1,0:2
27571,2018-09-15 16:00:00+00:00,1537027200,141,Segunda Division,Spain,2018,Regular Season - 5,535,Malaga,True,713,Cordoba,False,3,0,2,0,2,3,1,2:0,3:0
27572,2018-09-16 18:30:00+00:00,1537122600,141,Segunda Division,Spain,2018,Regular Season - 5,731,Sporting Gijon,,717,Numancia,,1,1,1,1,2,2,0,1:1,1:1
27573,2018-09-15 16:00:00+00:00,1537027200,141,Segunda Division,Spain,2018,Regular Season - 5,719,Tenerife,False,729,Reus,True,0,1,0,0,0,1,2,0:0,0:1
27574,2018-09-23 18:00:00+00:00,1537725600,141,Segunda Division,Spain,2018,Regular Season - 6,724,Cadiz,False,711,Alcorcon,True,0,2,0,2,2,2,2,0:2,0:2
27575,2018-09-22 18:30:00+00:00,1537641000,141,Segunda Division,Spain,2018,Regular Season - 6,713,Cordoba,,719,Tenerife,,1,1,0,1,1,2,0,0:1,1:1
27576,2018-09-24 19:00:00+00:00,1537815600,141,Segunda Division,Spain,2018,Regular Season - 6,544,Deportivo La Coruna,True,715,Granada CF,False,2,1,0,0,0,3,1,0:0,2:1
27577,2018-09-23 16:00:00+00:00,1537718400,141,Segunda Division,Spain,2018,Regular Season - 6,534,Las Palmas,True,535,Malaga,False,1,0,0,0,0,1,1,0:0,1:0
27578,2018-09-23 10:00:00+00:00,1537696800,141,Segunda Division,Spain,2018,Regular Season - 6,798,Mallorca,False,722,Albacete,True,1,3,0,1,1,4,2,0:1,1:3
27579,2018-09-23 16:00:00+00:00,1537718400,141,Segunda Division,Spain,2018,Regular Season - 6,717,Numancia,False,723,Almeria,True,0,2,0,1,1,2,2,0:1,0:2
27580,2018-09-22 14:00:00+00:00,1537624800,141,Segunda Division,Spain,2018,Regular Season - 6,727,Osasuna,True,731,Sporting Gijon,False,1,0,0,0,0,1,1,0:0,1:0
27581,2018-09-23 14:00:00+00:00,1537711200,141,Segunda Division,Spain,2018,Regular Season - 6,718,Oviedo,,797,Elche,,1,1,1,1,2,2,0,1:1,1:1
27582,2018-09-22 16:00:00+00:00,1537632000,141,Segunda Division,Spain,2018,Regular Season - 6,861,Rayo Majadahonda,False,860,Extremadura,True,1,4,0,2,2,5,2,0:2,1:4
27583,2018-09-23 16:00:00+00:00,1537718400,141,Segunda Division,Spain,2018,Regular Season - 6,729,Reus,,714,Gimnastic,,1,1,0,1,1,2,0,0:1,1:1
27584,2018-09-22 16:00:00+00:00,1537632000,141,Segunda Division,Spain,2018,Regular Season - 6,732,Zaragoza,False,716,Lugo,True,0,2,0,1,1,2,2,0:1,0:2
27585,2018-09-28 19:00:00+00:00,1538161200,141,Segunda Division,Spain,2018,Regular Season - 7,722,Albacete,,732,Zaragoza,,2,2,2,0,2,4,0,2:0,2:2
27586,2018-09-30 10:00:00+00:00,1538301600,141,Segunda Division,Spain,2018,Regular Season - 7,711,Alcorcon,True,718,Oviedo,False,2,0,1,0,1,2,1,1:0,2:0
27587,2018-09-30 16:00:00+00:00,1538323200,141,Segunda Division,Spain,2018,Regular Season - 7,723,Almeria,True,729,Reus,False,2,0,1,0,1,2,1,1:0,2:0
27588,2018-09-30 18:00:00+00:00,1538330400,141,Segunda Division,Spain,2018,Regular Season - 7,860,Extremadura,,797,Elche,,2,2,2,0,2,4,0,2:0,2:2
27589,2018-09-30 18:30:00+00:00,1538332200,141,Segunda Division,Spain,2018,Regular Season - 7,714,Gimnastic,False,544,Deportivo La Coruna,True,1,3,1,1,2,4,2,1:1,1:3
27590,2018-09-29 16:00:00+00:00,1538236800,141,Segunda Division,Spain,2018,Regular Season - 7,715,Granada CF,True,713,Cordoba,False,4,2,2,0,2,6,1,2:0,4:2
27591,2018-09-29 14:00:00+00:00,1538229600,141,Segunda Division,Spain,2018,Regular Season - 7,716,Lugo,,798,Mallorca,,1,1,1,1,2,2,0,1:1,1:1
27592,2018-09-30 14:00:00+00:00,1538316000,141,Segunda Division,Spain,2018,Regular Season - 7,535,Malaga,True,861,Rayo Majadahonda,False,1,0,1,0,1,1,1,1:0,1:0
27593,2018-09-30 16:00:00+00:00,1538323200,141,Segunda Division,Spain,2018,Regular Season - 7,727,Osasuna,,717,Numancia,,0,0,0,0,0,0,0,0:0,0:0
27594,2018-09-29 16:00:00+00:00,1538236800,141,Segunda Division,Spain,2018,Regular Season - 7,731,Sporting Gijon,True,534,Las Palmas,False,1,0,1,0,1,1,1,1:0,1:0
27595,2018-09-29 18:30:00+00:00,1538245800,141,Segunda Division,Spain,2018,Regular Season - 7,719,Tenerife,True,724,Cadiz,False,1,0,1,0,1,1,1,1:0,1:0
27596,2018-10-07 18:00:00+00:00,1538935200,141,Segunda Division,Spain,2018,Regular Season - 8,724,Cadiz,,714,Gimnastic,,1,1,1,1,2,2,0,1:1,1:1
27597,2018-10-06 18:00:00+00:00,1538848800,141,Segunda Division,Spain,2018,Regular Season - 8,713,Cordoba,True,723,Almeria,False,1,0,0,0,0,1,1,0:0,1:0
27598,2018-10-07 16:00:00+00:00,1538928000,141,Segunda Division,Spain,2018,Regular Season - 8,544,Deportivo La Coruna,,535,Malaga,,1,1,0,0,0,2,0,0:0,1:1
27599,2018-10-07 16:00:00+00:00,1538928000,141,Segunda Division,Spain,2018,Regular Season - 8,797,Elche,True,716,Lugo,False,2,1,1,0,1,3,1,1:0,2:1
27600,2018-10-06 18:30:00+00:00,1538850600,141,Segunda Division,Spain,2018,Regular Season - 8,534,Las Palmas,,711,Alcorcon,,0,0,0,0,0,0,0,0:0,0:0
27601,2018-10-06 14:00:00+00:00,1538834400,141,Segunda Division,Spain,2018,Regular Season - 8,798,Mallorca,True,719,Tenerife,False,4,1,2,0,2,5,1,2:0,4:1
27602,2018-10-06 16:00:00+00:00,1538841600,141,Segunda Division,Spain,2018,Regular Season - 8,717,Numancia,True,860,Extremadura,False,1,0,1,0,1,1,1,1:0,1:0
27603,2018-10-07 14:00:00+00:00,1538920800,141,Segunda Division,Spain,2018,Regular Season - 8,718,Oviedo,True,722,Albacete,False,1,0,1,0,1,1,1,1:0,1:0
27604,2018-10-08 18:00:00+00:00,1539021600,141,Segunda Division,Spain,2018,Regular Season - 8,861,Rayo Majadahonda,True,731,Sporting Gijon,False,2,1,1,0,1,3,1,1:0,2:1
27605,2018-10-07 10:00:00+00:00,1538906400,141,Segunda Division,Spain,2018,Regular Season - 8,729,Reus,False,715,Granada CF,True,1,2,0,1,1,3,2,0:1,1:2
27606,2018-10-08 19:00:00+00:00,1539025200,141,Segunda Division,Spain,2018,Regular Season - 8,732,Zaragoza,,727,Osasuna,,1,1,1,0,1,2,0,1:0,1:1
27607,2018-10-13 18:30:00+00:00,1539455400,141,Segunda Division,Spain,2018,Regular Season - 9,723,Almeria,True,534,Las Palmas,False,3,0,1,0,1,3,1,1:0,3:0
27608,2018-10-12 19:00:00+00:00,1539370800,141,Segunda Division,Spain,2018,Regular Season - 9,544,Deportivo La Coruna,True,797,Elche,False,4,0,1,0,1,4,1,1:0,4:0
27609,2018-10-12 16:00:00+00:00,1539360000,141,Segunda Division,Spain,2018,Regular Season - 9,860,Extremadura,True,724,Cadiz,False,2,1,0,1,1,3,1,0:1,2:1
27610,2018-10-15 14:00:00+00:00,1539612000,141,Segunda Division,Spain,2018,Regular Season - 9,714,Gimnastic,False,711,Alcorcon,True,1,3,0,3,3,4,2,0:3,1:3
27611,2018-10-14 18:45:00+00:00,1539542700,141,Segunda Division,Spain,2018,Regular Season - 9,715,Granada CF,True,798,Mallorca,False,1,0,1,0,1,1,1,1:0,1:0
27612,2018-10-12 14:00:00+00:00,1539352800,141,Segunda Division,Spain,2018,Regular Season - 9,535,Malaga,True,722,Albacete,False,2,1,0,0,0,3,1,0:0,2:1
27613,2018-10-13 18:30:00+00:00,1539455400,141,Segunda Division,Spain,2018,Regular Season - 9,717,Numancia,True,732,Zaragoza,False,1,0,0,0,0,1,1,0:0,1:0
27614,2018-10-13 14:00:00+00:00,1539439200,141,Segunda Division,Spain,2018,Regular Season - 9,727,Osasuna,True,713,Cordoba,False,3,1,1,0,1,4,1,1:0,3:1
27615,2018-10-14 14:00:00+00:00,1539525600,141,Segunda Division,Spain,2018,Regular Season - 9,861,Rayo Majadahonda,True,718,Oviedo,False,1,0,0,0,0,1,1,0:0,1:0
27616,2018-10-13 16:00:00+00:00,1539446400,141,Segunda Division,Spain,2018,Regular Season - 9,731,Sporting Gijon,,729,Reus,,1,1,0,0,0,2,0,0:0,1:1
27617,2018-10-14 11:00:00+00:00,1539514800,141,Segunda Division,Spain,2018,Regular Season - 9,719,Tenerife,,716,Lugo,,0,0,0,0,0,0,0,0:0,0:0
27618,2018-10-21 16:00:00+00:00,1540137600,141,Segunda Division,Spain,2018,Regular Season - 10,722,Albacete,,723,Almeria,,1,1,0,0,0,2,0,0:0,1:1
27619,2018-10-20 16:00:00+00:00,1540051200,141,Segunda Division,Spain,2018,Regular Season - 10,711,Alcorcon,True,715,Granada CF,False,1,0,0,0,0,1,1,0:0,1:0
27620,2018-10-21 18:30:00+00:00,1540146600,141,Segunda Division,Spain,2018,Regular Season - 10,724,Cadiz,,731,Sporting Gijon,,0,0,0,0,0,0,0,0:0,0:0
27621,2018-10-20 18:00:00+00:00,1540058400,141,Segunda Division,Spain,2018,Regular Season - 10,713,Cordoba,,544,Deportivo La Coruna,,1,1,0,1,1,2,0,0:1,1:1
27622,2018-10-19 19:00:00+00:00,1539975600,141,Segunda Division,Spain,2018,Regular Season - 10,797,Elche,True,535,Malaga,False,2,0,1,0,1,2,1,1:0,2:0
27623,2018-10-20 16:00:00+00:00,1540051200,141,Segunda Division,Spain,2018,Regular Season - 10,534,Las Palmas,True,717,Numancia,False,3,0,2,0,2,3,1,2:0,3:0
27624,2018-10-21 14:00:00+00:00,1540130400,141,Segunda Division,Spain,2018,Regular Season - 10,716,Lugo,True,714,Gimnastic,False,1,0,1,0,1,1,1,1:0,1:0
27625,2018-10-21 10:00:00+00:00,1540116000,141,Segunda Division,Spain,2018,Regular Season - 10,798,Mallorca,,860,Extremadura,,1,1,0,0,0,2,0,0:0,1:1
